Year,Temperature,CO2_Emissions,Rainfall,Forest_Cover,Renewable_Energy,Population,Sea_Level_Rise,Extreme_Events,Air_Quality
2015,14.2,8.5,850,31.2,15.3,320,22,12,85
2016,14.5,8.7,820,31.0,16.1,323,24,14,83
2017,14.8,8.9,890,30.8,17.2,326,26,13,80
2018,15.1,9.2,870,30.5,18.5,329,28,16,78
2019,15.3,9.4,910,30.2,20.1,332,31,18,75
2020,15.6,9.7,880,29.9,22.0,335,34,22,72
2021,15.9,10.0,920,29.6,24.3,338,37,25,68
2022,16.2,10.3,890,29.3,27.1,341,40,28,65
2023,16.5,10.6,940,29.0,30.2,344,43,31,62
2024,16.8,11.0,910,28.7,33.8,347,47,35,58
